Z_ion,Z_target,E_proj[keV/u],Theory_ID,Cross_section[cm2],is_exp,Uncertainty[%]
8,1,378.20667,CTMC,1.7203217933934138e-15,0,0
8,1,495.1275,CTMC,1.452419716866023e-15,0,0
8,1,648.47766,CTMC,1.1871535007954717e-15,0,0
8,1,849.3619,CTMC,9.538073278721166e-16,0,0
8,1,1112.3691,CTMC,7.572688363385161e-16,0,0
8,1,1456.5941,CTMC,5.887362128389033e-16,0,0
8,1,1907.3517,CTMC,4.606351357127577e-16,0,0
8,1,2498.082,CTMC,3.6109715547970647e-16,0,0
9,1,14.849624,CTMC,2.9170811973709837e-18,0,0
9,1,19.477272,CTMC,3.860767514054111e-18,0,0
9,1,25.482935,CTMC,9.595116129405844e-18,0,0
9,1,33.38277,CTMC,2.6448900702585303e-17,0,0
9,1,43.72465,CTMC,7.739732138513499e-17,0,0
9,1,57.260944,CTMC,2.2030237845062587e-16,0,0
9,1,74.938065,CTMC,5.902666586185331e-16,0,0
9,1,98.13276,CTMC,1.406879802586677e-15,0,0
9,1,128.61028,CTMC,2.2053198359838832e-15,0,0
9,1,168.35114,CTMC,2.578095992858789e-15,0,0
9,1,220.50172,CTMC,2.584087727425205e-15,0,0
9,1,288.7783,CTMC,2.345760251191044e-15,0,0
9,1,378.20667,CTMC,2.0663274261174296e-15,0,0
9,1,495.1275,CTMC,1.7600670465599994e-15,0,0
9,1,648.47766,CTMC,1.4509991979053286e-15,0,0
9,1,849.3619,CTMC,1.1798397959874879e-15,0,0
9,1,1112.3691,CTMC,9.371405472502646e-16,0,0
9,1,1456.5941,CTMC,7.420645108079806e-16,0,0
9,1,1907.3517,CTMC,5.735879486943132e-16,0,0
9,1,2498.082,CTMC,4.479537539887758e-16,0,0
