Z_ion,Z_target,E_proj[keV/u],Cross_section[cm2],Uncertainty[%],is_exp,Theory_ID,DOI
1,18,4.000e+03,3.201e-17,0,0,CDW-EIS,_
1,18,5.000e+03,2.612e-17,0,0,CDW-EIS,_
1,18,6.000e+03,2.212e-17,0,0,CDW-EIS,_
1,18,7.000e+03,1.922e-17,0,0,CDW-EIS,_
1,18,8.000e+03,1.701e-17,0,0,CDW-EIS,_
1,18,9.000e+03,1.528e-17,0,0,CDW-EIS,_
1,18,1.000e+04,1.388e-17,0,0,CDW-EIS,_
1,18,2.000e+04,7.405e-18,0,0,CDW-EIS,_
1,18,3.000e+04,5.150e-18,0,0,CDW-EIS,_
1,18,4.000e+04,3.994e-18,0,0,CDW-EIS,_
1,18,5.000e+04,3.288e-18,0,0,CDW-EIS,_
1,18,6.000e+04,2.811e-18,0,0,CDW-EIS,_
1,18,7.000e+04,2.467e-18,0,0,CDW-EIS,_
1,18,8.000e+04,2.207e-18,0,0,CDW-EIS,_
1,18,9.000e+04,2.003e-18,0,0,CDW-EIS,_
1,18,1.000e+05,1.839e-18,0,0,CDW-EIS,_
2,1,1.000e+01,6.640e-19,0,0,CDW-EIS,_
2,1,2.000e+01,3.816e-17,0,0,CDW-EIS,_
2,1,3.000e+01,1.373e-16,0,0,CDW-EIS,_
2,1,4.000e+01,2.339e-16,0,0,CDW-EIS,_
2,1,5.000e+01,3.004e-16,0,0,CDW-EIS,_
2,1,6.000e+01,3.403e-16,0,0,CDW-EIS,_
2,1,7.000e+01,3.610e-16,0,0,CDW-EIS,_
2,1,8.000e+01,3.678e-16,0,0,CDW-EIS,_
2,1,9.000e+01,3.678e-16,0,0,CDW-EIS,_
2,1,1.000e+02,3.624e-16,0,0,CDW-EIS,_
2,1,2.000e+02,2.690e-16,0,0,CDW-EIS,_
2,1,3.000e+02,2.050e-16,0,0,CDW-EIS,_
2,1,4.000e+02,1.654e-16,0,0,CDW-EIS,_
2,1,5.000e+02,1.389e-16,0,0,CDW-EIS,_
2,1,6.000e+02,1.199e-16,0,0,CDW-EIS,_
