Z_ion,Z_target,E_proj[keV/u],Cross_section[cm2],Uncertainty[%],is_exp,Theory_ID,DOI
1,1,972.0,1.962e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,982.0,1.945e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,992.1,1.928e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1002.0,1.911e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1012.0,1.895e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1022.0,1.879e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1032.0,1.863e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1042.0,1.847e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1052.0,1.832e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1062.0,1.817e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1072.0,1.802e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1082.0,1.788e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1092.0,1.773e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1102.0,1.759e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1112.0,1.746e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1122.0,1.732e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1132.0,1.719e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1142.0,1.706e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1152.0,1.693e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1162.0,1.68e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1172.0,1.667e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1182.0,1.655e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1192.0,1.643e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1202.0,1.631e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1213.0,1.619e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1223.0,1.608e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1233.0,1.596e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1243.0,1.585e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1253.0,1.574e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1263.0,1.563e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1273.0,1.552e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1283.0,1.542e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1293.0,1.531e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1303.0,1.521e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1313.0,1.511e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1323.0,1.501e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1333.0,1.491e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1343.0,1.481e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1353.0,1.472e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1363.0,1.462e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1373.0,1.453e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1383.0,1.444e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1393.0,1.434e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1403.0,1.426e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1413.0,1.417e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1423.0,1.408e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1433.0,1.399e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1443.0,1.391e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1453.0,1.382e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1463.0,1.374e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1473.0,1.366e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1483.0,1.358e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1493.0,1.35e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1503.0,1.342e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1513.0,1.334e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1523.0,1.326e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1533.0,1.319e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1543.0,1.311e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1553.0,1.304e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1563.0,1.297e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1573.0,1.289e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1583.0,1.282e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1593.0,1.275e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1603.0,1.268e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1613.0,1.261e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1623.0,1.254e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1633.0,1.248e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1643.0,1.241e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1653.0,1.234e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1663.0,1.228e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1673.0,1.221e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1683.0,1.215e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1693.0,1.209e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1703.0,1.202e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1713.0,1.196e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1724.0,1.19e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1734.0,1.184e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1744.0,1.178e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1754.0,1.172e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1764.0,1.166e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1774.0,1.16e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1784.0,1.155e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1794.0,1.149e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1804.0,1.143e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1814.0,1.138e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1824.0,1.132e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1834.0,1.127e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1844.0,1.121e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1854.0,1.116e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1864.0,1.111e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1874.0,1.106e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1884.0,1.1e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1894.0,1.095e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1904.0,1.09e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1914.0,1.085e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1924.0,1.08e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1934.0,1.075e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1944.0,1.07e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1954.0,1.066e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1964.0,1.061e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1974.0,1.056e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1984.0,1.051e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,1994.0,1.047e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2004.0,1.042e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2014.0,1.037e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2024.0,1.033e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2034.0,1.028e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2044.0,1.024e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2054.0,1.02e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2064.0,1.015e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2074.0,1.011e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2084.0,1.007e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2094.0,1.002e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2104.0,9.982e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2114.0,9.94e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2124.0,9.899e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2134.0,9.858e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2144.0,9.817e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2154.0,9.777e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2164.0,9.737e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2174.0,9.697e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2184.0,9.658e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2194.0,9.619e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2204.0,9.58e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2214.0,9.542e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2225.0,9.504e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2235.0,9.466e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2245.0,9.429e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2255.0,9.392e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2265.0,9.355e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2275.0,9.319e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2285.0,9.283e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2295.0,9.247e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2305.0,9.211e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2315.0,9.176e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2325.0,9.141e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2335.0,9.106e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2345.0,9.072e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2355.0,9.038e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2365.0,9.004e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2375.0,8.97e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2385.0,8.937e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2395.0,8.904e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2405.0,8.871e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2415.0,8.839e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2425.0,8.806e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,2435.0,8.774e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
